,y_true,preds,dates
3385,147,139.23700204423997,2018-01-07
3386,155,224.4408619253238,2018-01-14
3387,172,191.50058106698233,2018-01-21
3388,132,136.08166826107407,2018-01-28
3389,85,129.02350300724754,2018-02-04
3390,73,90.88384284718188,2018-02-11
3391,126,89.47518139257579,2018-02-18
3392,131,149.7663143798859,2018-02-25
3393,151,153.64515683957234,2018-03-04
3394,161,122.00593804381236,2018-03-11
3395,118,146.10948510258967,2018-03-18
3396,140,86.69165389053802,2018-03-25
3397,133,111.59017621259088,2018-04-01
3398,143,133.84846512292174,2018-04-08
3399,130,152.34291401746484,2018-04-15
3400,121,156.47052821188606,2018-04-22
3401,193,118.34658194746572,2018-04-29
3402,135,204.01266973141713,2018-05-06
3403,203,165.88379609212228,2018-05-13
3404,171,206.88279757029022,2018-05-20
3405,89,145.40986140124426,2018-05-27
3406,87,67.61801901665085,2018-06-03
3407,74,44.434097122398825,2018-06-10
3408,97,80.2348610051184,2018-06-17
3409,88,135.28807748255753,2018-06-24
3410,127,116.72320002686939,2018-07-01
3411,96,112.44132970307253,2018-07-08
3412,41,76.09562557789212,2018-07-15
3413,115,62.265399319334215,2018-07-22
3414,130,146.6107778316976,2018-07-29
3415,163,164.70542068287807,2018-08-05
3416,143,156.4239964956038,2018-08-12
