,y_true,nd_preds,lt_preds,dates
0,68,63.45176990658894,63.45176990658894,2018-01-07
1,85,63.45176990658894,59.65850452949372,2018-01-14
2,90,63.11712275291563,62.22187013580979,2018-01-21
3,92,83.4625202953665,65.52456301959846,2018-01-28
4,97,90.12840907516413,90.12840907516413,2018-02-04
5,98,90.12840907516413,81.38194321999225,2018-02-11
6,96,86.03919992456322,83.63555119494941,2018-02-18
7,102,103.75351066647792,93.30825720388376,2018-02-25
8,74,100.20304460139664,100.20304460139664,2018-03-04
9,73,100.20304460139664,96.6124106847253,2018-03-11
10,79,77.75802363487969,97.48828918834366,2018-03-18
11,89,83.9596147547797,101.23394942109064,2018-03-25
12,80,92.10641954781556,92.10641954781556,2018-04-01
13,62,92.10641954781556,97.25515201119167,2018-04-08
14,74,88.72057795009871,84.73462579885876,2018-04-15
15,65,71.56561530708234,87.21254946741806,2018-04-22
16,93,85.83717724693588,85.83717724693588,2018-04-29
17,51,85.83717724693588,71.15944532930008,2018-05-06
18,87,76.46346581148387,78.15804539139606,2018-05-13
19,62,62.65190263126051,77.22362088893284,2018-05-20
20,42,69.92175593702092,69.92175593702092,2018-05-27
21,41,69.92175593702092,67.03609762111077,2018-06-03
22,41,50.00166701743642,76.46870468169428,2018-06-10
23,64,50.23246486999382,76.72405744966349,2018-06-17
24,65,59.020552684687225,59.020552684687225,2018-06-24
25,43,59.020552684687225,70.08766997752194,2018-07-01
26,33,73.4296174686665,49.19525019528797,2018-07-08
27,27,47.19774067508925,55.14850951054525,2018-07-15
28,58,30.96095356048496,30.96095356048496,2018-07-22
29,67,30.96095356048496,25.612217405970465,2018-07-29
30,112,40.80105346674963,38.075216805074874,2018-08-05
31,111,68.90242705647402,39.57170616559232,2018-08-12
